checkpoint,metric,attribute,value,unit,aggregation
inicio,cc,rank_A,53.84615384615385,percent_loc,loc_weighted
inicio,cc,rank_B,35.76923076923077,percent_loc,loc_weighted
inicio,cc,rank_C,10.384615384615385,percent_loc,loc_weighted
inicio,cc,rank_D,0.0,percent_loc,loc_weighted
inicio,cc,rank_E,0.0,percent_loc,loc_weighted
inicio,cc,rank_F,0.0,percent_loc,loc_weighted
inicio,raw,loc,531.0,absolute,sum
inicio,raw,lloc,523.0,absolute,sum
inicio,raw,sloc,432.0,absolute,sum
inicio,raw,comments,22.0,absolute,sum
inicio,raw,multi,0.0,absolute,sum
inicio,raw,blank,81.0,absolute,sum
inicio,raw,single_comments,18.0,absolute,sum
inicio,mi,mi,60.36530914074469,absolute,mean
inicio,hal,volume,267.99547850728476,absolute,mean
inicio,hal,difficulty,2.2833333333333337,absolute,mean
inicio,hal,effort,1289.1209674915694,absolute,mean
inicio,hal,bugs,0.08933182616909494,absolute,mean
inicio,pylint,severity_warning,16,count,sum
inicio,pylint,severity_convention,85,count,sum
inicio,pylint,severity_error,2,count,sum
inicio,pylint,severity_refactor,6,count,sum
inicio,pylint,score,6.78,score,n/a
meio,mi,mi,60.35629846234385,absolute,mean
meio,cc,rank_A,53.43511450381679,percent_loc,loc_weighted
meio,cc,rank_B,36.25954198473282,percent_loc,loc_weighted
meio,cc,rank_C,10.305343511450381,percent_loc,loc_weighted
meio,cc,rank_D,0.0,percent_loc,loc_weighted
meio,cc,rank_E,0.0,percent_loc,loc_weighted
meio,cc,rank_F,0.0,percent_loc,loc_weighted
meio,hal,volume,267.99547850728476,absolute,mean
meio,hal,difficulty,2.2833333333333337,absolute,mean
meio,hal,effort,1289.1209674915694,absolute,mean
meio,hal,bugs,0.08933182616909494,absolute,mean
meio,raw,loc,533.0,absolute,sum
meio,raw,lloc,523.0,absolute,sum
meio,raw,sloc,434.0,absolute,sum
meio,raw,comments,22.0,absolute,sum
meio,raw,multi,0.0,absolute,sum
meio,raw,blank,81.0,absolute,sum
meio,raw,single_comments,18.0,absolute,sum
meio,pylint,severity_warning,16,count,sum
meio,pylint,severity_convention,86,count,sum
meio,pylint,severity_error,2,count,sum
meio,pylint,severity_refactor,6,count,sum
meio,pylint,score,6.75,score,n/a
atual,hal,volume,233.10415646528833,absolute,mean
atual,hal,difficulty,1.9324527491408936,absolute,mean
atual,hal,effort,1131.6398877735337,absolute,mean
atual,hal,bugs,0.07770138548842943,absolute,mean
atual,cc,rank_A,40.2247191011236,percent_loc,loc_weighted
atual,cc,rank_B,17.528089887640448,percent_loc,loc_weighted
atual,cc,rank_C,42.247191011235955,percent_loc,loc_weighted
atual,cc,rank_D,0.0,percent_loc,loc_weighted
atual,cc,rank_E,0.0,percent_loc,loc_weighted
atual,cc,rank_F,0.0,percent_loc,loc_weighted
atual,raw,loc,823.0,absolute,sum
atual,raw,lloc,735.0,absolute,sum
atual,raw,sloc,661.0,absolute,sum
atual,raw,comments,42.0,absolute,sum
atual,raw,multi,0.0,absolute,sum
atual,raw,blank,126.0,absolute,sum
atual,raw,single_comments,36.0,absolute,sum
atual,mi,mi,67.53567230214182,absolute,mean
atual,pylint,severity_warning,30,count,sum
atual,pylint,severity_convention,137,count,sum
atual,pylint,severity_error,2,count,sum
atual,pylint,severity_refactor,7,count,sum
atual,pylint,score,6.62,score,n/a
