checkpoint,metric,attribute,value,unit,aggregation
antiga,hal,volume,233.10415646528833,absolute,mean
antiga,hal,difficulty,1.9324527491408936,absolute,mean
antiga,hal,effort,1131.6398877735337,absolute,mean
antiga,hal,bugs,0.07770138548842943,absolute,mean
antiga,mi,mi,67.53567230214182,absolute,mean
antiga,cc,rank_A,40.2247191011236,percent_loc,loc_weighted
antiga,cc,rank_B,17.528089887640448,percent_loc,loc_weighted
antiga,cc,rank_C,42.247191011235955,percent_loc,loc_weighted
antiga,cc,rank_D,0.0,percent_loc,loc_weighted
antiga,cc,rank_E,0.0,percent_loc,loc_weighted
antiga,cc,rank_F,0.0,percent_loc,loc_weighted
antiga,raw,loc,823.0,absolute,sum
antiga,raw,lloc,735.0,absolute,sum
antiga,raw,sloc,661.0,absolute,sum
antiga,raw,comments,42.0,absolute,sum
antiga,raw,multi,0.0,absolute,sum
antiga,raw,blank,126.0,absolute,sum
antiga,raw,single_comments,36.0,absolute,sum
antiga,pylint,severity_warning,30,count,sum
antiga,pylint,severity_convention,137,count,sum
antiga,pylint,severity_error,2,count,sum
antiga,pylint,severity_refactor,7,count,sum
antiga,pylint,score,6.62,score,n/a
atual,hal,volume,200.37784185557555,absolute,mean
atual,hal,difficulty,1.8599425217072274,absolute,mean
atual,hal,effort,1011.5820870221377,absolute,mean
atual,hal,bugs,0.06679261395185854,absolute,mean
atual,cc,rank_A,40.106951871657756,percent_loc,loc_weighted
atual,cc,rank_B,26.8716577540107,percent_loc,loc_weighted
atual,cc,rank_C,33.02139037433155,percent_loc,loc_weighted
atual,cc,rank_D,0.0,percent_loc,loc_weighted
atual,cc,rank_E,0.0,percent_loc,loc_weighted
atual,cc,rank_F,0.0,percent_loc,loc_weighted
atual,raw,loc,1507.0,absolute,sum
atual,raw,lloc,1178.0,absolute,sum
atual,raw,sloc,1217.0,absolute,sum
atual,raw,comments,55.0,absolute,sum
atual,raw,multi,3.0,absolute,sum
atual,raw,blank,239.0,absolute,sum
atual,raw,single_comments,48.0,absolute,sum
atual,mi,mi,67.02801884101021,absolute,mean
atual,pylint,severity_warning,35,count,sum
atual,pylint,severity_convention,238,count,sum
atual,pylint,severity_refactor,9,count,sum
atual,pylint,severity_error,2,count,sum
atual,pylint,score,6.83,score,n/a
