metric,attribute,checkpoint_ref,checkpoint_cmp,value_ref,value_cmp,delta_percent
hal,volume,inicio,meio,267.99547850728476,267.99547850728476,0.0
hal,effort,inicio,meio,1289.1209674915694,1289.1209674915694,0.0
hal,difficulty,inicio,meio,2.2833333333333337,2.2833333333333337,0.0
raw,lloc,inicio,meio,523.0,523.0,0.0
raw,sloc,inicio,meio,432.0,434.0,-0.4629629629629629
raw,loc,inicio,meio,531.0,533.0,-0.3766478342749529
mi,mi,inicio,meio,60.36530914074469,60.35629846234385,-0.014926915026364567
pylint,score,inicio,meio,6.78,6.75,-0.4424778761061983
pylint,severity_warning,inicio,meio,16,16,0.0
pylint,severity_error,inicio,meio,2,2,0.0
pylint,severity_convention,inicio,meio,85,86,1.1764705882352942
pylint,severity_refactor,inicio,meio,6,6,0.0
hal,volume,meio,atual,267.99547850728476,233.10415646528833,13.01936966859984
hal,effort,meio,atual,1289.1209674915694,1131.6398877735337,12.216159979499025
hal,difficulty,meio,atual,2.2833333333333337,1.9324527491408936,15.36703288434044
raw,lloc,meio,atual,523.0,735.0,-40.53537284894838
raw,sloc,meio,atual,434.0,661.0,-52.30414746543779
raw,loc,meio,atual,533.0,823.0,-54.409005628517825
mi,mi,meio,atual,60.35629846234385,67.53567230214182,11.894986973525493
pylint,score,meio,atual,6.75,6.62,-1.9259259259259243
pylint,severity_warning,meio,atual,16,30,87.5
pylint,severity_error,meio,atual,2,2,0.0
pylint,severity_convention,meio,atual,86,137,59.30232558139535
pylint,severity_refactor,meio,atual,6,7,16.666666666666664
